date,yr,tp,sl,pnl,how
2023-08-15,2023,0.0075,0.005,103.0,close
2023-08-15,2023,0.0075,0.0075,103.0,close
2023-08-15,2023,0.0075,0.01,103.0,close
2023-08-15,2023,0.0075,0.015,103.0,close
2023-08-15,2023,0.0075,0.0,103.0,close
2023-08-15,2023,0.01,0.005,103.0,close
2023-08-15,2023,0.01,0.0075,103.0,close
2023-08-15,2023,0.01,0.01,103.0,close
2023-08-15,2023,0.01,0.015,103.0,close
2023-08-15,2023,0.01,0.0,103.0,close
2023-08-15,2023,0.015,0.005,103.0,close
2023-08-15,2023,0.015,0.0075,103.0,close
2023-08-15,2023,0.015,0.01,103.0,close
2023-08-15,2023,0.015,0.015,103.0,close
2023-08-15,2023,0.015,0.0,103.0,close
2023-08-15,2023,0.0,0.005,103.0,close
2023-08-15,2023,0.0,0.0075,103.0,close
2023-08-15,2023,0.0,0.01,103.0,close
2023-08-15,2023,0.0,0.015,103.0,close
2023-08-15,2023,0.0,0.0,103.0,close
2023-08-16,2023,0.0075,0.005,-83.54,stop
2023-08-16,2023,0.0075,0.0075,-68.0,close
2023-08-16,2023,0.0075,0.01,-68.0,close
2023-08-16,2023,0.0075,0.015,-68.0,close
2023-08-16,2023,0.0075,0.0,-68.0,close
2023-08-16,2023,0.01,0.005,-83.54,stop
2023-08-16,2023,0.01,0.0075,-68.0,close
2023-08-16,2023,0.01,0.01,-68.0,close
2023-08-16,2023,0.01,0.015,-68.0,close
2023-08-16,2023,0.01,0.0,-68.0,close
2023-08-16,2023,0.015,0.005,-83.54,stop
2023-08-16,2023,0.015,0.0075,-68.0,close
2023-08-16,2023,0.015,0.01,-68.0,close
2023-08-16,2023,0.015,0.015,-68.0,close
2023-08-16,2023,0.015,0.0,-68.0,close
2023-08-16,2023,0.0,0.005,-83.54,stop
2023-08-16,2023,0.0,0.0075,-68.0,close
2023-08-16,2023,0.0,0.01,-68.0,close
2023-08-16,2023,0.0,0.015,-68.0,close
2023-08-16,2023,0.0,0.0,-68.0,close
2023-08-21,2023,0.0075,0.005,-84.10000000000001,stop
2023-08-21,2023,0.0075,0.0075,-72.0,close
2023-08-21,2023,0.0075,0.01,-72.0,close
2023-08-21,2023,0.0075,0.015,-72.0,close
2023-08-21,2023,0.0075,0.0,-72.0,close
2023-08-21,2023,0.01,0.005,-84.10000000000001,stop
2023-08-21,2023,0.01,0.0075,-72.0,close
2023-08-21,2023,0.01,0.01,-72.0,close
2023-08-21,2023,0.01,0.015,-72.0,close
2023-08-21,2023,0.01,0.0,-72.0,close
2023-08-21,2023,0.015,0.005,-84.10000000000001,stop
2023-08-21,2023,0.015,0.0075,-72.0,close
2023-08-21,2023,0.015,0.01,-72.0,close
2023-08-21,2023,0.015,0.015,-72.0,close
2023-08-21,2023,0.015,0.0,-72.0,close
2023-08-21,2023,0.0,0.005,-84.10000000000001,stop
2023-08-21,2023,0.0,0.0075,-72.0,close
2023-08-21,2023,0.0,0.01,-72.0,close
2023-08-21,2023,0.0,0.015,-72.0,close
2023-08-21,2023,0.0,0.0,-72.0,close
2023-08-22,2023,0.0075,0.005,19.0,close
2023-08-22,2023,0.0075,0.0075,19.0,close
2023-08-22,2023,0.0075,0.01,19.0,close
2023-08-22,2023,0.0075,0.015,19.0,close
2023-08-22,2023,0.0075,0.0,19.0,close
2023-08-22,2023,0.01,0.005,19.0,close
